Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,강진군청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,33,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2001년 재정,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,34,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2001년 공공행정 및 사법,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,35,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 연혁,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,36,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 토지 및 기후,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,37,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 인구,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,38,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 노동,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,39,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 사업체,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,40,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 농림수산업,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,41,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 광공업,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,42,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2002년 전기·가스·수도,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
