Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,철도산업정보센터 권리처리 목록,,,,,,,,,,,,
,순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
,1,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,등록문화재 제56호 대한통운 제천영업소 (大韓通運 堤川營業所),철도 수화물처리와 관련된 복합(업무.숙소)형태의 화강석 완자형쌓기 석조건축물,-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,2,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제336호 삼척 하고사리역사,"1966년 마을 주민들이 건축한 시골 간이역으로 2006년말 한국철도시설공단의 철거계획에 대하여 주민들이 적극 반대하여 보존되었다 .하고사리역이 위치하고 있는 지역은 원래 마을의 중심지였으나 석탄채굴을 위해 도계광업소가 만들어 지면서 역사가 석탄채굴과 가까운 쪽으로 옮겨졌다. 일제의 수탈에 의해 철도역사와 마을과의 연계가 떨어지자 마을사람들이 역사의 필요성을 인지하고 합심하여 지어진 역사이다. 목구조와 슬레이트지붕의 평범한 건물이나, 주변경관과 지역성 그리고 주민들에 의해서 건립되어 개통 운영된 역사로서의 의미를 지니고 있다.",-,0,1,0,미부착,제1유형,저작물성 없음,
,3,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제326호 문경 불정역사,1955년 건축된 불정역은 시골 간이역의 낭만적인 모습을 잘 간직하고 있는 역사로 높이 솟은 삼각형의 박공면을 두고 측면에 대합실이 있는 전형적인 간이역이다. 역사 하부는 화강석으로 설치하고 상부는 강자갈을 설치하여 다른 간이역과 다른 독특한 외관을 지니고 있다.,-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,4,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제305호 보령 청소역사,청소역은 1929년 역원 배치 간이역으로 영업을 개시하여 1958년 9월 보통역으로 승격한 후 1961년에 지어진 벽돌조 역사이다. 원래의 명칭은 인근 마을의 이름을 따서 진죽역으로 불렀지만 1988년 ‘청소역’으로 변경되었다. 장항선에서 남아있는 역사 중에 가장 오래된 역사로서 희소적 가치가 있다. 한국전쟁 이후 근대 간이역사의 건축 앙식을 잘 보여주고 있다.,-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,5,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제304호 문경 가은역사,가은역은 1956년 9월 15일 석탄공사 은성광업소의 명칭에 따라 은성보통역으로 영업을 개시하였으며 1959년 2월 가은역으로 개칭하였다. 현재의 역사는 1955년 4월에 신축한 것으로 알려지고 있다. 박공지붕 형태를 보여주는 출입구는 양측에 세로로 긴 창문이 배치되어 있다. 주거지로 변용되면서 숙직실 끝 부분을 덧달아 내는 등 원형이 다소 변형되었다. 하지만 해방 후에 건축된 목조 역사로서 광복 이후 철도역사의 특징을 잘 나타내고 있다 .현재 폐선된 역사 중에서 특히 한때 번창했던 석탄 산업과 관련된 역사로서 희소적인 가치를 가지고 있다.,-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,6,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제303호 대구 동촌역사,"동존역은 1917년 11월1일 보통역으로 영업개시하여, 1928년 7월 1일 국철로 편입되어 1938년 대구 영천간 광궤선으로 개량되었다. 현재 대구선에는 원형을 유지하고 있는 역사로는 반야월역 동촌역 금호역이 있지만 그 중에서 동촌역이 원래의 원형을 잘 유지하고 있으며 지붕형태의 디자인도 탁월하다. 특히 철로변에서 보이는 박공지붕과 조정실의 작은 박공이 균형을 이루고 있다. 대합실의 천장은 ’ㅅ’형태로 마감되어 있으며 창호, 목구조 등은 원형의 모습을 그대로 보여주고 있어 1930년대 가장 잘 남아있는 우리나라의 대표적인 간이역으로 건축사적 가치를 가지고 있다. ",-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,7,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제302호 부산 송정역사,"1934.12.16 역원무배치 간이역으로 영업시작 1941.6.1 보통역으로 승격되었으며 1940년대의 전형적인 역사건축의 모습을 보이고 있다. 경사가 완만한 쉐드형 박공지붕을 우측 지붕 위에 얹어놓고 있으며 박공면에 반원형 표시판을 달고 있다. 쉐드 부분 아래 대합실과 입구가 있다. 출입문 상부에 캐노피가
달려 있고 이것은 가새에 의해 보강되었다. 가새는 두개씩 대어져 다른 역사에서 볼 수 없는 튼튼한 구조를 이루었다. 또한 차양 지붕의 처마는 목재로 몰딩 처리하여 우아한 모습을 보이고 있다. 전체적으로 비교적 원형을 유지하고 있다.",-,0,1,0,미부착,제1유형,저작물보호기간 만료,
,8,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,제301호 여수 율촌역사,"1930년 12월 25일 남조선철도주식회사의 영업개시와 동시에 건축되어 일반운수영업을 개시하였다. 역사의 왼쪽에 대합실이, 중앙부에는 역무실이, 이어서 부속실인 보관고(창고)가 돌출된 볼륨으로 만나게 되어 ’ㄴ’자형 평면을 나타내고 있다. 주요 목구조는 대부분 원형 그대로 남아있으며 특히 지붕은 모임지붕형태로 대합실, 사무실, 숙직실 순서대로 지붕의 높이를 낮게 하고 있다. 평면과 외형은 이미 등록문화재로 등록된 원장역사와 비슷하고 시기적으로도 같은 시기에 지어졌으며 1930년대 초기의 역사로서 근대철도건축사적 가치가 크다.",-,0,1,0,미부착,제1유형,저작물보호기간 만료,
